Sex,Country,Year,Age_Group_5yr,Population
Female,Iran (Islamic Republic of),1994,0-4,33.929
Female,Iran (Islamic Republic of),1995,0-4,29.031000000000006
Female,Iran (Islamic Republic of),1996,0-4,25.195999999999998
Female,Iran (Islamic Republic of),1997,0-4,22.6
Female,Iran (Islamic Republic of),1998,0-4,20.637000000000004
Female,Iran (Islamic Republic of),1999,0-4,19.375
Female,Iran (Islamic Republic of),2000,0-4,18.317
Female,Iran (Islamic Republic of),2001,0-4,17.515
Female,Iran (Islamic Republic of),2002,0-4,16.537000000000003
Female,Iran (Islamic Republic of),2003,0-4,17.108
Female,Iran (Islamic Republic of),2004,0-4,15.052999999999999
Female,Iran (Islamic Republic of),2005,0-4,14.615999999999998
Female,Iran (Islamic Republic of),2006,0-4,14.126
Female,Iran (Islamic Republic of),2007,0-4,13.61
Female,Iran (Islamic Republic of),2008,0-4,13.113
Female,Iran (Islamic Republic of),2009,0-4,12.580999999999998
Female,Iran (Islamic Republic of),2010,0-4,12.135
Female,Iran (Islamic Republic of),2011,0-4,11.86
Female,Iran (Islamic Republic of),2012,0-4,11.668000000000001
Female,Iran (Islamic Republic of),2013,0-4,11.5
Female,Iran (Islamic Republic of),2014,0-4,11.342
Female,Iran (Islamic Republic of),2015,0-4,11.103
Female,Iran (Islamic Republic of),2016,0-4,10.798
Female,Iran (Islamic Republic of),2017,0-4,10.273000000000001
Female,Iran (Islamic Republic of),2018,0-4,9.386
Female,Iran (Islamic Republic of),2019,0-4,8.389999999999999
Female,Iran (Islamic Republic of),2020,0-4,7.754999999999999
Female,Iran (Islamic Republic of),2021,0-4,7.575
Female,Iran (Islamic Republic of),2022,0-4,6.952000000000001
Female,Iran (Islamic Republic of),2023,0-4,6.435
Female,Bahrain,1950,0-4,0.915
Female,Bahrain,1951,0-4,0.921
Female,Bahrain,1952,0-4,0.9329999999999999
Female,Bahrain,1953,0-4,0.938
Female,Bahrain,1954,0-4,0.9369999999999999
Female,Bahrain,1955,0-4,0.9239999999999999
Female,Bahrain,1956,0-4,0.9
Female,Bahrain,1957,0-4,0.8669999999999999
Female,Bahrain,1958,0-4,0.8340000000000001
Female,Bahrain,1959,0-4,0.7960000000000002
Female,Bahrain,1960,0-4,0.7580000000000001
Female,Bahrain,1961,0-4,0.7210000000000001
Female,Bahrain,1962,0-4,0.677
Female,Bahrain,1963,0-4,0.6350000000000001
Female,Bahrain,1964,0-4,0.5930000000000001
Female,Bahrain,1965,0-4,0.552
Female,Bahrain,1966,0-4,0.508
Female,Bahrain,1967,0-4,0.464
Female,Bahrain,1968,0-4,0.42300000000000004
Female,Bahrain,1969,0-4,0.365
Female,Bahrain,1970,0-4,0.313
Female,Bahrain,1971,0-4,0.269
Female,Bahrain,1972,0-4,0.24800000000000003
Female,Bahrain,1973,0-4,0.231
Female,Bahrain,1974,0-4,0.217
Female,Bahrain,1975,0-4,0.20600000000000002
Female,Bahrain,1976,0-4,0.195
Female,Bahrain,1977,0-4,0.187
Female,Bahrain,1978,0-4,0.174
Female,Bahrain,1979,0-4,0.16600000000000004
Female,Bahrain,1980,0-4,0.15700000000000003
Female,Bahrain,1981,0-4,0.15100000000000002
Female,Bahrain,1982,0-4,0.14700000000000002
Female,Bahrain,1983,0-4,0.14400000000000002
Female,Bahrain,1984,0-4,0.14400000000000002
Female,Bahrain,1985,0-4,0.14700000000000002
Female,Bahrain,1986,0-4,0.15100000000000002
Female,Bahrain,1987,0-4,0.15100000000000002
Female,Bahrain,1988,0-4,0.15200000000000002
Female,Bahrain,1989,0-4,0.15200000000000002
Female,Bahrain,1990,0-4,0.15100000000000002
Female,Bahrain,1991,0-4,0.14600000000000002
Female,Bahrain,1992,0-4,0.14100000000000001
Female,Bahrain,1993,0-4,0.134
Female,Bahrain,1994,0-4,0.125
Female,Bahrain,1995,0-4,0.114
Female,Bahrain,1996,0-4,0.104
Female,Bahrain,1997,0-4,0.099
Female,Bahrain,1998,0-4,0.093
Female,Bahrain,1999,0-4,0.08900000000000001
Female,Bahrain,2000,0-4,0.08400000000000002
Female,Bahrain,2001,0-4,0.07700000000000001
Female,Bahrain,2002,0-4,0.07800000000000001
Female,Bahrain,2003,0-4,0.083
Female,Bahrain,2004,0-4,0.08600000000000001
Female,Bahrain,2005,0-4,0.08700000000000001
Female,Bahrain,2006,0-4,0.084
Female,Bahrain,2007,0-4,0.08200000000000002
Female,Bahrain,2008,0-4,0.08000000000000002
Female,Bahrain,2009,0-4,0.07800000000000001
Female,Bahrain,2010,0-4,0.07600000000000001
Female,Bahrain,2011,0-4,0.07400000000000001
Female,Bahrain,2012,0-4,0.07300000000000001
Female,Bahrain,2013,0-4,0.07400000000000001
Female,Bahrain,2014,0-4,0.07500000000000001
Female,Bahrain,2015,0-4,0.07500000000000001
Female,Bahrain,2016,0-4,0.07400000000000001
Female,Bahrain,2017,0-4,0.07200000000000001
Female,Bahrain,2018,0-4,0.07
Female,Bahrain,2019,0-4,0.067
Female,Bahrain,2020,0-4,0.1
Female,Bahrain,2021,0-4,0.062
Female,Bahrain,2022,0-4,0.063
Female,Bahrain,2023,0-4,0.058
Female,Iraq,1950,0-4,42.288
Female,Iraq,1951,0-4,40.840999999999994
Female,Iraq,1952,0-4,40.405
Female,Iraq,1953,0-4,39.52300000000001
Female,Iraq,1954,0-4,37.877
Female,Iraq,1955,0-4,34.374
Female,Iraq,1956,0-4,31.500999999999998
Female,Iraq,1957,0-4,27.040000000000003
Female,Iraq,1958,0-4,23.785
Female,Iraq,1959,0-4,22.887
Female,Iraq,1960,0-4,22.285999999999998
Female,Iraq,1961,0-4,22.469999999999995
Female,Iraq,1962,0-4,24.522000000000002
Female,Iraq,1963,0-4,25.580000000000002
Female,Iraq,1964,0-4,25.733999999999998
Female,Iraq,1965,0-4,25.067
Female,Iraq,1966,0-4,24.548000000000002
Female,Iraq,1967,0-4,23.963000000000005
Female,Iraq,1968,0-4,23.623
Female,Iraq,1969,0-4,23.087999999999997
Female,Iraq,1970,0-4,22.644
Female,Iraq,1971,0-4,22.107
Female,Iraq,1972,0-4,21.663
Female,Iraq,1973,0-4,21.176
Female,Iraq,1974,0-4,20.913999999999998
Female,Iraq,1975,0-4,20.429000000000002
Female,Iraq,1976,0-4,19.647
Female,Iraq,1977,0-4,19.123
Female,Iraq,1978,0-4,18.675
Female,Iraq,1979,0-4,18.265
Female,Iraq,1980,0-4,17.879
Female,Iraq,1981,0-4,17.587
Female,Iraq,1982,0-4,17.295
Female,Iraq,1983,0-4,17.057
Female,Iraq,1984,0-4,16.975999999999996
Female,Iraq,1985,0-4,16.865
Female,Iraq,1986,0-4,16.549000000000003
Female,Iraq,1987,0-4,16.539
Female,Iraq,1988,0-4,20.731
Female,Iraq,1989,0-4,25.265
Female,Iraq,1990,0-4,25.648000000000003
Female,Iraq,1991,0-4,20.570999999999998
Female,Iraq,1992,0-4,16.601
Female,Iraq,1993,0-4,16.73
Female,Iraq,1994,0-4,17.35
Female,Iraq,1995,0-4,17.372
Female,Iraq,1996,0-4,17.224999999999998
Female,Iraq,1997,0-4,17.543
Female,Iraq,1998,0-4,17.272000000000002
Female,Iraq,1999,0-4,17.339
Female,Iraq,2000,0-4,17.287999999999997
Female,Iraq,2001,0-4,17.181
Female,Iraq,2002,0-4,17.033
Female,Iraq,2003,0-4,17.023
Female,Iraq,2004,0-4,16.967000000000002
Female,Iraq,2005,0-4,16.881
Female,Iraq,2006,0-4,17.004
Female,Iraq,2007,0-4,16.188
Female,Iraq,2008,0-4,15.672
Female,Iraq,2009,0-4,15.943999999999999
Female,Iraq,2010,0-4,16.244
Female,Iraq,2011,0-4,16.584
Female,Iraq,2012,0-4,16.624000000000002
Female,Iraq,2013,0-4,16.892
Female,Iraq,2014,0-4,16.250999999999998
Female,Iraq,2015,0-4,15.615999999999998
Female,Iraq,2016,0-4,14.6
Female,Iraq,2017,0-4,13.717999999999998
Female,Iraq,2018,0-4,13.266
Female,Iraq,2019,0-4,12.963999999999999
Female,Iraq,2020,0-4,12.684000000000001
Female,Iraq,2021,0-4,12.195999999999998
Female,Iraq,2022,0-4,11.841
Female,Iraq,2023,0-4,11.536999999999999
Female,Israel,1950,0-4,1.0219999999999998
Female,Israel,1951,0-4,1.1309999999999998
Female,Israel,1952,0-4,1.139
Female,Israel,1953,0-4,1.4919999999999998
Female,Israel,1954,0-4,1.43
Female,Israel,1955,0-4,1.4400000000000002
Female,Israel,1956,0-4,1.567
Female,Israel,1957,0-4,1.521
Female,Israel,1958,0-4,1.352
Female,Israel,1959,0-4,1.143
Female,Israel,1960,0-4,1.193
Female,Israel,1961,0-4,0.9720000000000001
Female,Israel,1962,0-4,1.1219999999999999
Female,Israel,1963,0-4,1.0539999999999998
Female,Israel,1964,0-4,1.105
Female,Israel,1965,0-4,1.0379999999999998
Female,Israel,1966,0-4,1.008
Female,Israel,1967,0-4,0.9660000000000001
Female,Israel,1968,0-4,0.9320000000000002
Female,Israel,1969,0-4,0.8690000000000001
Female,Israel,1970,0-4,0.9100000000000001
Female,Israel,1971,0-4,0.8100000000000002
Female,Israel,1972,0-4,0.9630000000000001
Female,Israel,1973,0-4,0.9970000000000001
Female,Israel,1974,0-4,1.0210000000000001
Female,Israel,1975,0-4,1.0830000000000002
Female,Israel,1976,0-4,0.9870000000000001
Female,Israel,1977,0-4,0.9020000000000001
Female,Israel,1978,0-4,0.8300000000000001
Female,Israel,1979,0-4,0.8270000000000001
Female,Israel,1980,0-4,0.7050000000000001
Female,Israel,1981,0-4,0.7430000000000001
Female,Israel,1982,0-4,0.7340000000000001
Female,Israel,1983,0-4,0.7300000000000001
Female,Israel,1984,0-4,0.6970000000000001
Female,Israel,1985,0-4,0.5990000000000001
Female,Israel,1986,0-4,0.5700000000000001
Female,Israel,1987,0-4,0.518
Female,Israel,1988,0-4,0.515
Female,Israel,1989,0-4,0.4860000000000001
Female,Israel,1990,0-4,0.4860000000000001
Female,Israel,1991,0-4,0.4670000000000001
Female,Israel,1992,0-4,0.545
Female,Israel,1993,0-4,0.47900000000000004
Female,Israel,1994,0-4,0.4620000000000001
Female,Israel,1995,0-4,0.4200000000000001
Female,Israel,1996,0-4,0.41200000000000003
Female,Israel,1997,0-4,0.43800000000000006
Female,Israel,1998,0-4,0.38400000000000006
Female,Israel,1999,0-4,0.42000000000000004
Female,Israel,2000,0-4,0.38000000000000006
Female,Israel,2001,0-4,0.4020000000000001
Female,Israel,2002,0-4,0.42200000000000004
Female,Israel,2003,0-4,0.4030000000000001
Female,Israel,2004,0-4,0.38700000000000007
Female,Israel,2005,0-4,0.3450000000000001
Female,Israel,2006,0-4,0.32500000000000007
Female,Israel,2007,0-4,0.33000000000000007
Female,Israel,2008,0-4,0.31300000000000006
Female,Israel,2009,0-4,0.3360000000000001
Female,Israel,2010,0-4,0.3340000000000001
Female,Israel,2011,0-4,0.32600000000000007
Female,Israel,2012,0-4,0.32100000000000006
Female,Israel,2013,0-4,0.28800000000000003
Female,Israel,2014,0-4,0.30100000000000005
Female,Israel,2015,0-4,0.28800000000000003
Female,Israel,2016,0-4,0.28300000000000003
Female,Israel,2017,0-4,0.30100000000000005
Female,Israel,2018,0-4,0.30900000000000005
Female,Israel,2019,0-4,0.26
Female,Israel,2020,0-4,0.21500000000000002
Female,Israel,2021,0-4,0.266
Female,Israel,2022,0-4,0.272
Female,Israel,2023,0-4,0.29100000000000004
Female,Jordan,1950,0-4,2.6489999999999996
Female,Jordan,1951,0-4,2.714
Female,Jordan,1952,0-4,2.776
Female,Jordan,1953,0-4,2.834
Female,Jordan,1954,0-4,2.8930000000000002
Female,Jordan,1955,0-4,2.9619999999999997
Female,Jordan,1956,0-4,3.0120000000000005
Female,Jordan,1957,0-4,3.056
Female,Jordan,1958,0-4,3.0900000000000003
Female,Jordan,1959,0-4,3.11
Female,Jordan,1960,0-4,3.1239999999999997
Female,Jordan,1961,0-4,3.128
Female,Jordan,1962,0-4,3.114
Female,Jordan,1963,0-4,3.096
Female,Jordan,1964,0-4,3.0519999999999996
Female,Jordan,1965,0-4,3.0429999999999997
Female,Jordan,1966,0-4,3.1510000000000002
Female,Jordan,1967,0-4,3.108
Female,Jordan,1968,0-4,3.176
Female,Jordan,1969,0-4,3.222
Female,Jordan,1970,0-4,3.3859999999999997
Female,Jordan,1971,0-4,3.226
Female,Jordan,1972,0-4,3.1730000000000005
Female,Jordan,1973,0-4,3.0999999999999996
Female,Jordan,1974,0-4,3.0170000000000003
Female,Jordan,1975,0-4,2.931
Female,Jordan,1976,0-4,2.838
Female,Jordan,1977,0-4,2.7560000000000002
Female,Jordan,1978,0-4,2.6740000000000004
Female,Jordan,1979,0-4,2.597
Female,Jordan,1980,0-4,2.532
Female,Jordan,1981,0-4,2.471
Female,Jordan,1982,0-4,2.4169999999999994
Female,Jordan,1983,0-4,2.369
Female,Jordan,1984,0-4,2.3259999999999996
Female,Jordan,1985,0-4,2.29
Female,Jordan,1986,0-4,2.264
Female,Jordan,1987,0-4,2.2339999999999995
Female,Jordan,1988,0-4,2.194
Female,Jordan,1989,0-4,2.1610000000000005
Female,Jordan,1990,0-4,2.125
Female,Jordan,1991,0-4,2.2430000000000003
Female,Jordan,1992,0-4,2.2560000000000002
Female,Jordan,1993,0-4,2.268
Female,Jordan,1994,0-4,2.277
Female,Jordan,1995,0-4,2.27
Female,Jordan,1996,0-4,2.225
Female,Jordan,1997,0-4,2.1469999999999994
Female,Jordan,1998,0-4,2.045
Female,Jordan,1999,0-4,1.9559999999999997
Female,Jordan,2000,0-4,1.8790000000000002
Female,Jordan,2001,0-4,1.8190000000000002
Female,Jordan,2002,0-4,1.786
Female,Jordan,2003,0-4,1.764
Female,Jordan,2004,0-4,1.7169999999999999
Female,Jordan,2005,0-4,1.6830000000000003
Female,Jordan,2006,0-4,1.676
Female,Jordan,2007,0-4,1.8330000000000002
Female,Jordan,2008,0-4,1.8509999999999998
Female,Jordan,2009,0-4,1.8339999999999999
Female,Jordan,2010,0-4,1.796
Female,Jordan,2011,0-4,1.7530000000000001
Female,Jordan,2012,0-4,1.704
Female,Jordan,2013,0-4,1.619
Female,Jordan,2014,0-4,1.695
Female,Jordan,2015,0-4,1.752
Female,Jordan,2016,0-4,1.7830000000000001
Female,Jordan,2017,0-4,1.733
Female,Jordan,2018,0-4,1.6809999999999998
Female,Jordan,2019,0-4,1.625
Female,Jordan,2020,0-4,1.564
Female,Jordan,2021,0-4,1.517
Female,Jordan,2022,0-4,1.4709999999999999
Female,Jordan,2023,0-4,1.429
Female,Kuwait,1950,0-4,0.677
Female,Kuwait,1951,0-4,0.683
Female,Kuwait,1952,0-4,0.682
Female,Kuwait,1953,0-4,0.676
Female,Kuwait,1954,0-4,0.666
Female,Kuwait,1955,0-4,0.6540000000000001
Female,Kuwait,1956,0-4,0.6930000000000001
Female,Kuwait,1957,0-4,0.75
Female,Kuwait,1958,0-4,0.789
Female,Kuwait,1959,0-4,0.8260000000000001
Female,Kuwait,1960,0-4,0.8580000000000001
Female,Kuwait,1961,0-4,0.8850000000000001
Female,Kuwait,1962,0-4,0.908
Female,Kuwait,1963,0-4,0.934
Female,Kuwait,1964,0-4,0.9560000000000001
Female,Kuwait,1965,0-4,0.9770000000000001
Female,Kuwait,1966,0-4,0.9960000000000001
Female,Kuwait,1967,0-4,1.031
Female,Kuwait,1968,0-4,1.0659999999999998
Female,Kuwait,1969,0-4,1.0939999999999996
Female,Kuwait,1970,0-4,1.1019999999999996
Female,Kuwait,1971,0-4,1.0889999999999997
Female,Kuwait,1972,0-4,1.067
Female,Kuwait,1973,0-4,1.0459999999999998
Female,Kuwait,1974,0-4,1.022
Female,Kuwait,1975,0-4,1.001
Female,Kuwait,1976,0-4,0.9810000000000001
Female,Kuwait,1977,0-4,0.9510000000000001
Female,Kuwait,1978,0-4,0.911
Female,Kuwait,1979,0-4,0.868
Female,Kuwait,1980,0-4,0.8250000000000001
Female,Kuwait,1981,0-4,0.776
Female,Kuwait,1982,0-4,0.7360000000000001
Female,Kuwait,1983,0-4,0.6970000000000001
Female,Kuwait,1984,0-4,0.659
Female,Kuwait,1985,0-4,0.6100000000000001
Female,Kuwait,1986,0-4,0.5680000000000001
Female,Kuwait,1987,0-4,0.526
Female,Kuwait,1988,0-4,0.493
Female,Kuwait,1989,0-4,0.462
Female,Kuwait,1990,0-4,0.502
Female,Kuwait,1991,0-4,0.195
Female,Kuwait,1992,0-4,0.264
Female,Kuwait,1993,0-4,0.264
Female,Kuwait,1994,0-4,0.275
Female,Kuwait,1995,0-4,0.28200000000000003
Female,Kuwait,1996,0-4,0.277
Female,Kuwait,1997,0-4,0.269
Female,Kuwait,1998,0-4,0.26
Female,Kuwait,1999,0-4,0.254
Female,Kuwait,2000,0-4,0.25
Female,Kuwait,2001,0-4,0.249
Female,Kuwait,2002,0-4,0.248
Female,Kuwait,2003,0-4,0.248
Female,Kuwait,2004,0-4,0.248
Female,Kuwait,2005,0-4,0.246
Female,Kuwait,2006,0-4,0.252
Female,Kuwait,2007,0-4,0.257
Female,Kuwait,2008,0-4,0.257
Female,Kuwait,2009,0-4,0.259
Female,Kuwait,2010,0-4,0.258
Female,Kuwait,2011,0-4,0.258
Female,Kuwait,2012,0-4,0.262
Female,Kuwait,2013,0-4,0.256
Female,Kuwait,2014,0-4,0.257
Female,Kuwait,2015,0-4,0.248
Female,Kuwait,2016,0-4,0.23900000000000002
Female,Kuwait,2017,0-4,0.23600000000000002
Female,Kuwait,2018,0-4,0.222
Female,Kuwait,2019,0-4,0.21
Female,Kuwait,2020,0-4,0.20500000000000004
Female,Kuwait,2021,0-4,0.17800000000000002
Female,Kuwait,2022,0-4,0.195
Female,Kuwait,2023,0-4,0.189
Female,Lebanon,1950,0-4,2.414
Female,Lebanon,1951,0-4,2.5280000000000005
Female,Lebanon,1952,0-4,2.5580000000000003
Female,Lebanon,1953,0-4,2.567
Female,Lebanon,1954,0-4,2.56
Female,Lebanon,1955,0-4,2.676
Female,Lebanon,1956,0-4,2.5280000000000005
Female,Lebanon,1957,0-4,2.482
Female,Lebanon,1958,0-4,2.453
Female,Lebanon,1959,0-4,2.4240000000000004
Female,Lebanon,1960,0-4,2.399
Female,Lebanon,1961,0-4,2.3709999999999996
Female,Lebanon,1962,0-4,2.355
Female,Lebanon,1963,0-4,2.34
Female,Lebanon,1964,0-4,2.322
Female,Lebanon,1965,0-4,2.2960000000000003
Female,Lebanon,1966,0-4,2.269
Female,Lebanon,1967,0-4,2.2479999999999998
Female,Lebanon,1968,0-4,2.226
Female,Lebanon,1969,0-4,2.2199999999999998
Female,Lebanon,1970,0-4,2.218
Female,Lebanon,1971,0-4,2.2150000000000003
Female,Lebanon,1972,0-4,2.222
Female,Lebanon,1973,0-4,2.2319999999999998
Female,Lebanon,1974,0-4,2.2359999999999998
Female,Lebanon,1975,0-4,2.2840000000000003
Female,Lebanon,1976,0-4,8.052999999999999
Female,Lebanon,1977,0-4,3.023
Female,Lebanon,1978,0-4,3.103
Female,Lebanon,1979,0-4,3.1909999999999994
Female,Lebanon,1980,0-4,3.1670000000000003
Female,Lebanon,1981,0-4,3.143
Female,Lebanon,1982,0-4,5.622999999999999
Female,Lebanon,1983,0-4,2.38
Female,Lebanon,1984,0-4,2.3089999999999997
Female,Lebanon,1985,0-4,2.221
Female,Lebanon,1986,0-4,2.1430000000000002
Female,Lebanon,1987,0-4,2.7009999999999996
Female,Lebanon,1988,0-4,2.629
Female,Lebanon,1989,0-4,1.564
Female,Lebanon,1990,0-4,1.486
Female,Lebanon,1991,0-4,1.402
Female,Lebanon,1992,0-4,1.3299999999999998
Female,Lebanon,1993,0-4,1.242
Female,Lebanon,1994,0-4,1.153
Female,Lebanon,1995,0-4,1.079
Female,Lebanon,1996,0-4,1.034
Female,Lebanon,1997,0-4,0.9730000000000002
Female,Lebanon,1998,0-4,0.9340000000000002
Female,Lebanon,1999,0-4,0.8960000000000001
Female,Lebanon,2000,0-4,0.8550000000000001
Female,Lebanon,2001,0-4,0.8100000000000002
Female,Lebanon,2002,0-4,0.7630000000000001
Female,Lebanon,2003,0-4,0.7140000000000001
Female,Lebanon,2004,0-4,0.6670000000000001
Female,Lebanon,2005,0-4,0.6240000000000001
Female,Lebanon,2006,0-4,0.5900000000000001
Female,Lebanon,2007,0-4,0.5660000000000001
Female,Lebanon,2008,0-4,0.551
Female,Lebanon,2009,0-4,0.542
Female,Lebanon,2010,0-4,0.548
Female,Lebanon,2011,0-4,0.554
Female,Lebanon,2012,0-4,0.5660000000000001
Female,Lebanon,2013,0-4,0.5980000000000001
Female,Lebanon,2014,0-4,0.6980000000000001
Female,Lebanon,2015,0-4,0.7510000000000001
Female,Lebanon,2016,0-4,0.7320000000000001
Female,Lebanon,2017,0-4,0.7170000000000001
Female,Lebanon,2018,0-4,0.7050000000000001
Female,Lebanon,2019,0-4,0.6910000000000001
Female,Lebanon,2020,0-4,0.8260000000000001
Female,Lebanon,2021,0-4,0.7430000000000001
Female,Lebanon,2022,0-4,0.7390000000000001
Female,Lebanon,2023,0-4,0.7820000000000001
Female,Oman,1950,0-4,5.2090000000000005
Female,Oman,1951,0-4,5.176
Female,Oman,1952,0-4,5.196000000000001
Female,Oman,1953,0-4,5.196
Female,Oman,1954,0-4,5.187
Female,Oman,1955,0-4,5.164999999999999
Female,Oman,1956,0-4,5.132000000000001
Female,Oman,1957,0-4,5.099
Female,Oman,1958,0-4,5.061
Female,Oman,1959,0-4,5.017999999999999
Female,Oman,1960,0-4,4.965
Female,Oman,1961,0-4,4.883
Female,Oman,1962,0-4,4.784
Female,Oman,1963,0-4,4.667
Female,Oman,1964,0-4,4.538
Female,Oman,1965,0-4,4.403
Female,Oman,1966,0-4,4.261
Female,Oman,1967,0-4,4.112
Female,Oman,1968,0-4,3.9620000000000006
Female,Oman,1969,0-4,3.8089999999999997
Female,Oman,1970,0-4,3.668
Female,Oman,1971,0-4,3.5130000000000003
Female,Oman,1972,0-4,3.341
Female,Oman,1973,0-4,3.1900000000000004
Female,Oman,1974,0-4,3.043
Female,Oman,1975,0-4,2.9370000000000003
Female,Oman,1976,0-4,2.8400000000000003
Female,Oman,1977,0-4,2.773
Female,Oman,1978,0-4,2.662
Female,Oman,1979,0-4,2.5719999999999996
Female,Oman,1980,0-4,2.4800000000000004
Female,Oman,1981,0-4,2.382
Female,Oman,1982,0-4,2.2590000000000003
Female,Oman,1983,0-4,2.132
Female,Oman,1984,0-4,2.0
Female,Oman,1985,0-4,1.866
Female,Oman,1986,0-4,1.699
Female,Oman,1987,0-4,1.5359999999999998
Female,Oman,1988,0-4,1.384
Female,Oman,1989,0-4,1.2479999999999998
Female,Oman,1990,0-4,1.1239999999999999
Female,Oman,1991,0-4,1.01
Female,Oman,1992,0-4,0.906
Female,Oman,1993,0-4,0.8130000000000001
Female,Oman,1994,0-4,0.726
Female,Oman,1995,0-4,0.655
Female,Oman,1996,0-4,0.5900000000000001
Female,Oman,1997,0-4,0.532
Female,Oman,1998,0-4,0.48000000000000004
Female,Oman,1999,0-4,0.44
Female,Oman,2000,0-4,0.403
Female,Oman,2001,0-4,0.373
Female,Oman,2002,0-4,0.352
Female,Oman,2003,0-4,0.3370000000000001
Female,Oman,2004,0-4,0.31400000000000006
Female,Oman,2005,0-4,0.30300000000000005
Female,Oman,2006,0-4,0.29200000000000004
Female,Oman,2007,0-4,0.29800000000000004
Female,Oman,2008,0-4,0.29600000000000004
Female,Oman,2009,0-4,0.31100000000000005
Female,Oman,2010,0-4,0.33000000000000007
Female,Oman,2011,0-4,0.3370000000000001
Female,Oman,2012,0-4,0.364
Female,Oman,2013,0-4,0.387
Female,Oman,2014,0-4,0.404
Female,Oman,2015,0-4,0.418
Female,Oman,2016,0-4,0.425
Female,Oman,2017,0-4,0.431
Female,Oman,2018,0-4,0.422
Female,Oman,2019,0-4,0.41200000000000003
Female,Oman,2020,0-4,0.405
Female,Oman,2021,0-4,0.38700000000000007
Female,Oman,2022,0-4,0.36900000000000005
Female,Oman,2023,0-4,0.385
Female,Qatar,1950,0-4,0.09500000000000001
Female,Qatar,1951,0-4,0.09500000000000001
Female,Qatar,1952,0-4,0.09500000000000001
Female,Qatar,1953,0-4,0.09500000000000001
Female,Qatar,1954,0-4,0.09400000000000001
Female,Qatar,1955,0-4,0.09200000000000001
Female,Qatar,1956,0-4,0.09100000000000001
Female,Qatar,1957,0-4,0.08900000000000001
Female,Qatar,1958,0-4,0.08900000000000001
Female,Qatar,1959,0-4,0.09000000000000001
Female,Qatar,1960,0-4,0.08800000000000001
Female,Qatar,1961,0-4,0.09000000000000001
Female,Qatar,1962,0-4,0.096
Female,Qatar,1963,0-4,0.10400000000000001
Female,Qatar,1964,0-4,0.112
Female,Qatar,1965,0-4,0.12000000000000001
Female,Qatar,1966,0-4,0.127
Female,Qatar,1967,0-4,0.134
Female,Qatar,1968,0-4,0.14
Female,Qatar,1969,0-4,0.14500000000000002
Female,Qatar,1970,0-4,0.14900000000000002
Female,Qatar,1971,0-4,0.14500000000000002
Female,Qatar,1972,0-4,0.14100000000000001
Female,Qatar,1973,0-4,0.137
Female,Qatar,1974,0-4,0.134
Female,Qatar,1975,0-4,0.131
Female,Qatar,1976,0-4,0.129
Female,Qatar,1977,0-4,0.127
